,State or UN,Admin Cap,Legis Cap,Judi Cap,Year
0,Andhra Pradesh,Visakhapatnam[3],Amaravati[3],Kurnool[3],"Hyderabad[a](1956–2017)
Amaravati (2017-2020)"
1,Arunachal Pradesh,Itanagar,Itanagar,Guwahati,—
2,Assam,Dispur,Dispur,Guwahati,Shillong[b] (1950–1972)
3,Bihar,Patna,Patna,Patna,—
4,Chhattisgarh,Naya Raipur [c],Raipur,Bilaspur,—
5,Goa,Panaji [d],Porvorim,Mumbai,—
6,Gujarat,Gandhinagar,Gandhinagar,Ahmedabad,Ahmedabad (1960–1970)
7,Haryana,Chandigarh,Chandigarh,Chandigarh,—
8,Himachal Pradesh,Shimla,"Shimla (Summer)
Dharamsala (Winter)[6]",Shimla,—
9,Jharkhand,Ranchi,Ranchi,Ranchi,—
10,Karnataka,Bengaluru,Bengaluru,Bengaluru,—
11,Kerala,Thiruvananthapuram,Thiruvananthapuram,Kochi,—
12,Madhya Pradesh,Bhopal,Bhopal,Jabalpur,—
13,Maharashtra,Mumbai[e],"Mumbai (Summer)
Nagpur  (Winter)",Mumbai,—
14,Manipur,Imphal,Imphal,Imphal,—
15,Meghalaya,Shillong,Shillong,Shillong,—
16,Mizoram,Aizawl,Aizawl,Guwahati,—
17,Nagaland,Kohima,Kohima,Guwahati,—
18,Odisha,Bhubaneswar,Bhubaneswar,Cuttack,
19,Punjab,Chandigarh,Chandigarh,Chandigarh,—
20,Rajasthan,Jaipur,Jaipur,Jodhpur,—
21,Sikkim,Gangtok[f],Gangtok,Gangtok,—
22,Tamil Nadu,Chennai[g],Chennai,Chennai,—
23,Telangana,Hyderabad,Hyderabad,Hyderabad,—
24,Tripura,Agartala,Agartala,Agartala,—
25,Uttar Pradesh,Lucknow,Lucknow,Prayagraj,—
26,Uttarakhand,"Gairsain (Summer)
Dehradun (Winter)","Gairsain  (Summer)[8]
Dehradun (Winter)",Nainital,—
27,West Bengal,Kolkata,Kolkata,Kolkata,—
